second,Input,Output
0,2.80000019,1.84375
2.00E-05,2.86250019,1.8125
4.00E-05,2.98750019,1.78125
6.00E-05,3.05000019,1.75
8.00E-05,3.23750019,1.75
1.00E-04,3.36250019,1.71875
0.00012,3.48750019,1.71875
0.00014,3.55000019,1.6875
0.00016,3.67500019,1.6875
0.00018,3.80000019,1.625
0.0002,3.86250019,1.5625
0.00022,4.11250019,1.59375
0.00024,4.17500019,1.5625
0.00026,4.36250019,1.53125
0.00028,4.48750019,1.5
0.0003,4.55000019,1.4375
0.00032,4.73750019,1.46875
0.00034,4.86250019,1.40625
0.00036,4.92500019,1.40625
0.00038,5.17500019,1.375
0.0004,5.23750019,1.34375
0.00042,5.36250019,1.28125
0.00044,5.55000019,1.3125
0.00046,5.67500019,1.28125
0.00048,5.73750019,1.21875
0.0005,5.86250019,1.21875
0.00052,6.05000019,1.21875
0.00054,6.17500019,1.1875
0.00056,6.30000019,1.125
0.00058,6.30000019,1.125
0.0006,6.48750019,1.09375
0.00062,6.67500019,1.0625
0.00064,6.73750019,1.03125
0.00066,6.86250019,1.03125
0.00068,6.92500019,0.96875
0.0007,7.05000019,1
0.00072,7.17500019,0.9375
0.00074,7.17500019,0.9375
0.00076,7.42500019,0.9375
0.00078,7.55000019,0.90625
0.0008,7.55000019,0.90625
0.00082,7.61250019,0.84375
0.00084,7.73750019,0.84375
0.00086,7.80000019,0.84375
0.00088,7.86250019,0.84375
0.0009,7.98750019,0.8125
0.00092,7.98750019,0.78125
0.00094,8.05000019,0.78125
0.00096,8.11250019,0.75
0.00098,8.23750019,0.78125
0.001,8.30000019,0.78125
0.00102,8.30000019,0.71875
0.00104,8.36250019,0.75
0.00106,8.48750019,0.71875
0.00108,8.42500019,0.75
0.0011,8.42500019,0.71875
0.00112,8.36250019,0.71875
0.00114,8.42500019,0.6875
0.00116,8.42500019,0.6875
0.00118,8.48750019,0.6875
0.0012,8.48750019,0.75
0.00122,8.55000019,0.6875
0.00124,8.55000019,0.71875
0.00126,8.42500019,0.75
0.00128,8.42500019,0.71875
0.0013,8.48750019,0.71875
0.00132,8.36250019,0.75
0.00134,8.30000019,0.75
0.00136,8.36250019,0.78125
0.00138,8.23750019,0.78125
0.0014,8.23750019,0.78125
0.00142,8.17500019,0.8125
0.00144,8.11250019,0.8125
0.00146,8.11250019,0.84375
0.00148,8.05000019,0.84375
0.0015,7.92500019,0.875
0.00152,7.86250019,0.875
0.00154,7.73750019,0.90625
0.00156,7.67500019,0.9375
0.00158,7.67500019,0.9375
0.0016,7.48750019,0.9375
0.00162,7.42500019,0.96875
0.00164,7.36250019,1
0.00166,7.30000019,1.0625
0.00168,7.11250019,1.03125
0.0017,7.11250019,1.0625
0.00172,6.92500019,1.125
0.00174,6.73750019,1.125
0.00176,6.67500019,1.125
0.00178,6.55000019,1.15625
0.0018,6.42500019,1.25
0.00182,6.36250019,1.25
0.00184,6.23750019,1.25
0.00186,6.23750019,1.28125
0.00188,5.92500019,1.25
0.0019,5.92500019,1.34375
0.00192,5.73750019,1.34375
0.00194,5.61250019,1.375
0.00196,5.48750019,1.4375
0.00198,5.42500019,1.4375
0.002,5.17500019,1.4375
0.00202,5.11250019,1.46875
0.00204,4.98750019,1.5
0.00206,4.86250019,1.53125
0.00208,4.61250019,1.53125
0.0021,4.61250019,1.5625
0.00212,4.42500019,1.625
0.00214,4.30000019,1.625
0.00216,4.23750019,1.6875
0.00218,4.05000019,1.6875
0.0022,3.92500019,1.71875
0.00222,3.80000019,1.71875
0.00224,3.61250019,1.78125
0.00226,3.48750019,1.78125
0.00228,3.48750019,1.8125
0.0023,3.36250019,1.84375
0.00232,3.23750019,1.84375
0.00234,3.17500019,1.875
0.00236,2.98750019,1.90625
0.00238,2.92500019,1.875
0.0024,2.80000019,1.90625
0.00242,2.67500019,1.9375
0.00244,2.61250019,1.96875
0.00246,2.48750019,1.96875
0.00248,2.42500019,2
0.0025,2.36250019,2.03125
0.00252,2.17500019,2.03125
0.00254,2.17500019,2.0625
0.00256,2.11250019,2.0625
0.00258,1.92500019,2.03125
0.0026,1.98750019,2.0625
0.00262,1.92500019,2.09375
0.00264,1.92500019,2.09375
0.00266,1.73750019,2.125
0.00268,1.73750019,2.125
0.0027,1.73750019,2.125
0.00272,1.67500019,2.15625
0.00274,1.61250019,2.125
0.00276,1.61250019,2.125
0.00278,1.55000019,2.09375
0.0028,1.61250019,2.15625
0.00282,1.55000019,2.15625
0.00284,1.55000019,2.125
0.00286,1.55000019,2.15625
0.00288,1.55000019,2.125
0.0029,1.48750019,2.15625
0.00292,1.55000019,2.125
0.00294,1.55000019,2.125
0.00296,1.61250019,2.09375
0.00298,1.61250019,2.09375
0.003,1.67500019,2.09375
0.00302,1.67500019,2.09375
0.00304,1.73750019,2.0625
0.00306,1.73750019,2.0625
0.00308,1.73750019,2.0625
0.0031,1.86250019,2.03125
0.00312,1.98750019,2.03125
0.00314,1.92500019,1.96875
0.00316,2.11250019,1.96875
0.00318,2.17500019,2
0.0032,2.17500019,1.96875
0.00322,2.30000019,1.96875
0.00324,2.30000019,1.9375
0.00326,2.48750019,1.875
0.00328,2.42500019,1.90625
0.0033,2.67500019,1.875
0.00332,2.73750019,1.875
0.00334,2.80000019,1.84375
0.00336,2.92500019,1.8125
0.00338,3.11250019,1.78125
0.0034,3.11250019,1.75
0.00342,3.30000019,1.75
0.00344,3.30000019,1.6875
0.00346,3.48750019,1.6875
0.00348,3.61250019,1.6875
0.0035,3.73750019,1.625
0.00352,3.86250019,1.625
0.00354,3.98750019,1.59375
0.00356,4.11250019,1.5625
0.00358,4.23750019,1.53125
0.0036,4.30000019,1.5
0.00362,4.48750019,1.5
0.00364,4.61250019,1.4375
0.00366,4.80000019,1.4375
0.00368,4.98750019,1.4375
0.0037,5.05000019,1.40625
0.00372,5.11250019,1.375
0.00374,5.30000019,1.3125
0.00376,5.48750019,1.3125
0.00378,5.48750019,1.25
0.0038,5.73750019,1.28125
0.00382,5.80000019,1.21875
0.00384,5.92500019,1.21875
0.00386,6.05000019,1.1875
0.00388,6.23750019,1.125
0.0039,6.30000019,1.15625
0.00392,6.48750019,1.125
0.00394,6.48750019,1.0625
0.00396,6.67500019,1.0625
0.00398,6.73750019,1.03125
0.004,6.92500019,1
0.00402,6.98750019,1
0.00404,7.11250019,0.96875
0.00406,7.23750019,0.9375
0.00408,7.23750019,0.90625
0.0041,7.42500019,0.90625
0.00412,7.48750019,0.90625
0.00414,7.55000019,0.875
0.00416,7.67500019,0.84375
0.00418,7.80000019,0.84375
0.0042,7.80000019,0.84375
0.00422,7.92500019,0.8125
0.00424,7.98750019,0.75
0.00426,8.11250019,0.78125
0.00428,8.11250019,0.8125
0.0043,8.11250019,0.71875
0.00432,8.23750019,0.78125
0.00434,8.30000019,0.71875
0.00436,8.30000019,0.75
0.00438,8.36250019,0.75
0.0044,8.36250019,0.6875
0.00442,8.36250019,0.71875
0.00444,8.42500019,0.71875
0.00446,8.42500019,0.6875
0.00448,8.48750019,0.6875
0.0045,8.48750019,0.6875
0.00452,8.48750019,0.71875
0.00454,8.48750019,0.6875
0.00456,8.48750019,0.71875
0.00458,8.48750019,0.71875
0.0046,8.48750019,0.75
0.00462,8.42500019,0.75
0.00464,8.42500019,0.71875
0.00466,8.36250019,0.78125
0.00468,8.36250019,0.75
0.0047,8.36250019,0.8125
0.00472,8.30000019,0.8125
0.00474,8.30000019,0.8125
0.00476,8.17500019,0.8125
0.00478,8.11250019,0.84375
0.0048,8.05000019,0.84375
0.00482,7.98750019,0.84375
0.00484,7.86250019,0.875
0.00486,7.86250019,0.90625
0.00488,7.80000019,0.9375
0.0049,7.73750019,0.9375
0.00492,7.55000019,0.9375
0.00494,7.55000019,0.96875
0.00496,7.42500019,1
0.00498,7.30000019,1
0.005,7.23750019,1.03125
0.00502,7.05000019,1.0625
0.00504,7.11250019,1.09375
0.00506,6.92500019,1.125
0.00508,6.73750019,1.125
0.0051,6.61250019,1.125
0.00512,6.55000019,1.1875
0.00514,6.36250019,1.15625
0.00516,6.30000019,1.25
0.00518,6.17500019,1.25
0.0052,6.05000019,1.28125
0.00522,5.98750019,1.3125
0.00524,5.86250019,1.34375
0.00526,5.73750019,1.375
0.00528,5.55000019,1.40625
0.0053,5.42500019,1.375
0.00532,5.36250019,1.4375
0.00534,5.23750019,1.46875
0.00536,5.05000019,1.4375
0.00538,4.92500019,1.5
0.0054,4.80000019,1.53125
0.00542,4.67500019,1.59375
0.00544,4.55000019,1.59375
0.00546,4.42500019,1.59375
0.00548,4.30000019,1.625
0.0055,4.11250019,1.6875
0.00552,4.05000019,1.6875
0.00554,3.86250019,1.75
0.00556,3.80000019,1.75
0.00558,3.61250019,1.75
0.0056,3.48750019,1.8125
0.00562,3.42500019,1.8125
0.00564,3.30000019,1.84375
0.00566,3.17500019,1.84375
0.00568,2.98750019,1.875
0.0057,2.92500019,1.90625
0.00572,2.86250019,1.9375
0.00574,2.73750019,1.90625
0.00576,2.67500019,1.9375
0.00578,2.55000019,1.96875
0.0058,2.48750019,1.96875
0.00582,2.42500019,2
0.00584,2.30000019,2.03125
0.00586,2.17500019,2.03125
0.00588,2.17500019,2.0625
0.0059,2.05000019,2.0625
0.00592,1.98750019,2.03125
0.00594,1.98750019,2.09375
0.00596,1.92500019,2.09375
0.00598,1.86250019,2.09375
0.006,1.73750019,2.125
0.00602,1.67500019,2.09375
0.00604,1.67500019,2.125
0.00606,1.67500019,2.125
0.00608,1.61250019,2.15625
0.0061,1.61250019,2.15625
0.00612,1.55000019,2.125
0.00614,1.55000019,2.15625
0.00616,1.55000019,2.15625
0.00618,1.48750019,2.15625
0.0062,1.55000019,2.125
0.00622,1.48750019,2.125
0.00624,1.55000019,2.125
0.00626,1.61250019,2.15625
0.00628,1.55000019,2.125
0.0063,1.61250019,2.125
0.00632,1.67500019,2.125
0.00634,1.67500019,2.09375
0.00636,1.67500019,2.09375
0.00638,1.80000019,2.09375
0.0064,1.73750019,2.0625
0.00642,1.80000019,2.03125
0.00644,1.86250019,2.0625
0.00646,1.98750019,2.03125
0.00648,1.98750019,2
0.0065,2.11250019,1.96875
0.00652,2.17500019,2
0.00654,2.17500019,1.9375
0.00656,2.30000019,1.9375
0.00658,2.36250019,1.90625
0.0066,2.48750019,1.90625
0.00662,2.61250019,1.90625
0.00664,2.61250019,1.84375
0.00666,2.73750019,1.875
0.00668,2.92500019,1.84375
0.0067,2.98750019,1.78125
0.00672,3.11250019,1.75
0.00674,3.17500019,1.75
0.00676,3.30000019,1.71875
0.00678,3.36250019,1.6875
0.0068,3.55000019,1.65625
0.00682,3.67500019,1.625
0.00684,3.80000019,1.59375
0.00686,3.86250019,1.59375
0.00688,3.98750019,1.59375
0.0069,4.17500019,1.59375
0.00692,4.30000019,1.53125
0.00694,4.42500019,1.5
0.00696,4.55000019,1.5
0.00698,4.67500019,1.4375
0.007,4.86250019,1.4375
0.00702,4.92500019,1.40625
0.00704,5.11250019,1.40625
0.00706,5.23750019,1.34375
0.00708,5.36250019,1.34375
0.0071,5.48750019,1.3125
0.00712,5.55000019,1.28125
0.00714,5.80000019,1.28125
0.00716,5.86250019,1.25
0.00718,5.98750019,1.1875
0.0072,6.11250019,1.1875
0.00722,6.17500019,1.125
0.00724,6.36250019,1.125
0.00726,6.42500019,1.09375
0.00728,6.55000019,1.0625
0.0073,6.67500019,1.03125
0.00732,6.80000019,1.0625
0.00734,6.92500019,1
0.00736,7.05000019,0.96875
0.00738,7.17500019,0.9375
0.0074,7.23750019,0.9375
0.00742,7.36250019,0.90625
0.00744,7.42500019,0.90625
0.00746,7.55000019,0.875
0.00748,7.55000019,0.875
0.0075,7.73750019,0.84375
0.00752,7.80000019,0.84375
0.00754,7.80000019,0.8125
0.00756,7.92500019,0.84375
0.00758,8.05000019,0.8125
0.0076,8.05000019,0.8125
0.00762,8.11250019,0.78125
0.00764,8.17500019,0.78125
0.00766,8.30000019,0.75
0.00768,8.36250019,0.75
0.0077,8.30000019,0.71875
0.00772,8.30000019,0.75
0.00774,8.36250019,0.71875
0.00776,8.42500019,0.6875
0.00778,8.42500019,0.6875
0.0078,8.42500019,0.71875
0.00782,8.42500019,0.6875
0.00784,8.55000019,0.6875
0.00786,8.55000019,0.71875
0.00788,8.48750019,0.71875
0.0079,8.55000019,0.75
0.00792,8.42500019,0.71875
0.00794,8.42500019,0.75
0.00796,8.42500019,0.71875
0.00798,8.42500019,0.71875
0.008,8.30000019,0.75
0.00802,8.42500019,0.75
0.00804,8.30000019,0.78125
0.00806,8.30000019,0.8125
0.00808,8.23750019,0.8125
0.0081,8.17500019,0.84375
0.00812,8.11250019,0.8125
0.00814,8.11250019,0.875
0.00816,7.86250019,0.84375
0.00818,7.98750019,0.90625
0.0082,7.86250019,0.90625
0.00822,7.67500019,0.90625
0.00824,7.67500019,0.9375
0.00826,7.55000019,0.96875
0.00828,7.48750019,0.96875
0.0083,7.36250019,1
0.00832,7.30000019,1.03125
0.00834,7.17500019,1.03125
0.00836,7.11250019,1.03125
0.00838,6.98750019,1.125
0.0084,6.86250019,1.125
0.00842,6.73750019,1.15625
0.00844,6.61250019,1.15625
0.00846,6.42500019,1.15625
0.00848,6.42500019,1.21875
0.0085,6.23750019,1.25
0.00852,6.05000019,1.25
0.00854,6.05000019,1.3125
0.00856,5.98750019,1.34375
0.00858,5.73750019,1.34375
0.0086,5.67500019,1.375
0.00862,5.55000019,1.40625
0.00864,5.42500019,1.40625
0.00866,5.36250019,1.46875
0.00868,5.11250019,1.4375
0.0087,4.98750019,1.5
0.00872,4.86250019,1.53125
0.00874,4.80000019,1.53125
0.00876,4.61250019,1.59375
0.00878,4.48750019,1.625
0.0088,4.30000019,1.59375
0.00882,4.23750019,1.625
0.00884,4.05000019,1.65625
0.00886,3.92500019,1.71875
0.00888,3.86250019,1.75
0.0089,3.73750019,1.75
0.00892,3.67500019,1.75
0.00894,3.48750019,1.8125
0.00896,3.36250019,1.84375
0.00898,3.23750019,1.875
0.009,3.17500019,1.875
0.00902,3.05000019,1.875
0.00904,2.92500019,1.875
0.00906,2.92500019,1.9375
0.00908,2.73750019,1.9375
0.0091,2.61250019,1.9375
0.00912,2.55000019,1.9375
0.00914,2.36250019,1.96875
0.00916,2.36250019,2.03125
0.00918,2.23750019,2
0.0092,2.23750019,2.03125
0.00922,2.17500019,2.0625
0.00924,2.05000019,2.0625
0.00926,1.98750019,2.09375
0.00928,1.98750019,2.09375
0.0093,1.80000019,2.0625
0.00932,1.86250019,2.09375
0.00934,1.73750019,2.125
0.00936,1.67500019,2.09375
0.00938,1.67500019,2.125
0.0094,1.61250019,2.125
0.00942,1.61250019,2.125
0.00944,1.61250019,2.15625
0.00946,1.48750019,2.125
0.00948,1.55000019,2.15625
0.0095,1.61250019,2.1875
0.00952,1.48750019,2.125
0.00954,1.48750019,2.15625
0.00956,1.55000019,2.125
0.00958,1.61250019,2.15625
0.0096,1.55000019,2.125
0.00962,1.61250019,2.125
0.00964,1.61250019,2.125
0.00966,1.61250019,2.09375
0.00968,1.67500019,2.09375
0.0097,1.73750019,2.0625
0.00972,1.80000019,2.09375
0.00974,1.80000019,2.03125
0.00976,1.86250019,2.03125
0.00978,1.98750019,2.03125
0.0098,1.92500019,2
0.00982,2.05000019,2.03125
0.00984,2.11250019,1.96875
0.00986,2.11250019,1.96875
0.00988,2.30000019,2
0.0099,2.36250019,1.9375
0.00992,2.42500019,1.9375
0.00994,2.55000019,1.875
0.00996,2.61250019,1.84375
