,vf1,vc1,vc2,q11_1,q11_2,q12_1,q12_2,q13_1,q13_2,q14_1,q14_2,q21_1,q21_2,q22_1,q22_2,q23_1,q23_2,q24_1,q24_2,q31_1,q31_2,q32_1,q32_2,q33_1,q33_2,q34_1,q34_2,q41_1,q41_2,q42_1,q42_2,q43_1,q43_2,q44_1,q44_2
0,0,1,-1,1.829932963471225e-12,1.829932963471225e-12,-1.89159427958331e-12,1.820695448714991e-12,-1.8875603395338132e-12,1.8193384430090125e-12,-1.8864477990092366e-12,1.8284773583316547e-12,-1.8889690190741363e-12,1.8200574145519115e-12,-1.8872739402861193e-12,1.8100547210763221e-12,-1.881596576406031e-12,1.811065025403174e-12,-1.883900062105029e-12,1.8184128433583826e-12,-1.8856229119191337e-12,1.820719347641422e-12,-1.888007847644842e-12,1.8099185785907204e-12,-1.8826888663485156e-12,1.8082330604249968e-12,-1.8814071968192286e-12,1.8198457376477747e-12,-1.886441937417486e-12,1.8284147467875e-12,-1.890650497699547e-12,1.8184277330132791e-12,-1.8866117444608795e-12,1.8181765664689922e-12,-1.8863652866724194e-12,1.828192057334031e-12
1,10,1,-1,1.7955756202685172e-12,1.7955756202685172e-12,-1.903201755306805e-12,1.7660627207559768e-12,-1.9023698586382823e-12,1.7847417534573271e-12,-1.8965785715368076e-12,1.8156986352035261e-12,-1.893550190901463e-12,1.7694535740592621e-12,-1.9012019379374113e-12,1.7146736388656308e-12,-1.9013677644288506e-12,1.7580605012411051e-12,-1.8962959685988887e-12,1.8028996940658016e-12,-1.890113702092953e-12,1.7879554550379605e-12,-1.8975660994160906e-12,1.75618621560147e-12,-1.8950918061891523e-12,1.775101263457728e-12,-1.8895474241406885e-12,1.808283687769276e-12,-1.889853133198364e-12,1.8158279849948861e-12,-1.8951276634030596e-12,1.802459683467695e-12,-1.8912257032069273e-12,1.8063388561244044e-12,-1.889868390177291e-12,1.822290208302154e-12
2,20,1,-1,1.7612179097631072e-12,1.7612179097631072e-12,-1.9148093107004645e-12,1.7114300066133782e-12,-1.917179474019997e-12,1.7501451689288756e-12,-1.906709446118809e-12,1.802919635419358e-12,-1.8981314322991295e-12,1.7188497097272558e-12,-1.9151299247183374e-12,1.6192928476002999e-12,-1.921138951546718e-12,1.7050560747632238e-12,-1.908691932281891e-12,1.7873864983967953e-12,-1.8946045893329973e-12,1.7551916429493254e-12,-1.907124472233484e-12,1.702454179024001e-12,-1.907494812807935e-12,1.7419697279817471e-12,-1.8976877223251044e-12,1.7967216635132534e-12,-1.893264408784755e-12,1.8032409842912263e-12,-1.8996049131106626e-12,1.786491463033999e-12,-1.8958397573683645e-12,1.794501352120194e-12,-1.8933715331103824e-12,1.8163884688482986e-12
3,30,1,-1,1.7268601301676647e-12,1.7268601301676647e-12,-1.9264168891891335e-12,1.6567972879048377e-12,-1.9319891257742633e-12,1.7155486251673301e-12,-1.916840356129727e-12,1.790140536550877e-12,-1.9027126904748287e-12,1.6682458398142818e-12,-1.9290579211507056e-12,1.5239121759615112e-12,-1.9409101805233977e-12,1.652051685245606e-12,-1.921087885916517e-12,1.7718732908597088e-12,-1.89909552017582e-12,1.722427847814153e-12,-1.9166829007059566e-12,1.6487220570918453e-12,-1.919897899755097e-12,1.7088382480442096e-12,-1.9058280268969754e-12,1.785159519072809e-12,-1.896675718435925e-12,1.7906538933930654e-12,-1.9040821397843398e-12,1.7705232270706769e-12,-1.900453784970071e-12,1.7826638238580077e-12,-1.896874708741745e-12,1.8104865622263942e-12
4,40,1,-1,1.6925023399769837e-12,1.6925023399769837e-12,-1.9380244435517305e-12,1.6021645621950308e-12,-1.946798753168109e-12,1.6809520969655267e-12,-1.926971249558831e-12,1.7773614208038255e-12,-1.907293929763383e-12,1.6176419633898964e-12,-1.9429858959074428e-12,1.4285315284113513e-12,-1.9606814079179526e-12,1.5990472742134397e-12,-1.93348380663683e-12,1.7563600783132397e-12,-1.9035864418108808e-12,1.689664031950703e-12,-1.9262413292535182e-12,1.5949897970119305e-12,-1.9323010089634393e-12,1.6757067342857333e-12,-1.9139683048477825e-12,1.7735972879906242e-12,-1.9000870155005392e-12,1.7780667801683895e-12,-1.9085593241964806e-12,1.754555048476209e-12,-1.9050677666822228e-12,1.7708262054188556e-12,-1.9003778801363473e-12,1.8045845330786958e-12
5,50,1,-1,1.6581445551426809e-12,1.6581445551426809e-12,-1.949631965798762e-12,1.5475318308294732e-12,-1.9616083458584933e-12,1.6463555731992148e-12,-1.9371021154148818e-12,1.7645822986361374e-12,-1.911875144640771e-12,1.5670380828353846e-12,-1.956913839618506e-12,1.3331508779647405e-12,-1.9804526172533106e-12,1.5460428396243567e-12,-1.945879694576059e-12,1.7408468647413537e-12,-1.908077336381177e-12,1.6569001956387595e-12,-1.935799742101255e-12,1.5412574391480982e-12,-1.944704115039964e-12,1.642575180950355e-12,-1.9221085528491604e-12,1.7620350126957041e-12,-1.9034982876840214e-12,1.7654796746445931e-12,-1.913036473572286e-12,1.73858695707353e-12,-1.9096817130152368e-12,1.758988511947134e-12,-1.9038810367346596e-12,1.7986824442398627e-12
6,60,1,-1,1.6237867865251996e-12,1.6237867865251996e-12,-1.961239462840001e-12,1.4928990999254072e-12,-1.9764179111845673e-12,1.6117590483269249e-12,-1.9472329582893466e-12,1.7518031717550554e-12,-1.9164563398291738e-12,1.5164342031422286e-12,-1.9708417574937708e-12,1.237770218234777e-12,-2.0002238104231534e-12,1.4930383954601276e-12,-1.9582755573606084e-12,1.7253336575772747e-12,-1.9125682043021163e-12,1.6241363482363557e-12,-1.945358140786304e-12,1.4875250230319079e-12,-1.957107213509995e-12,1.6094436025571474e-12,-1.930248776344932e-12,1.7504727257291414e-12,-1.906909536844572e-12,1.7528925918523553e-12,-1.917513599142487e-12,1.722618953343804e-12,-1.9142956367224336e-12,1.7471507717108846e-12,-1.907384179576285e-12,1.7927803373637942e-12
7,70,1,-1,1.5894267060953672e-12,1.5894267060953672e-12,-1.9728471395960248e-12,1.4382650274299913e-12,-1.9912281936467464e-12,1.5771658188571234e-12,-1.957364212222058e-12,1.739022119669926e-12,-1.9210378454371845e-12,1.4658295304552203e-12,-1.9847703068116155e-12,1.142388446517883e-12,-2.019996432054842e-12,1.4400331664241243e-12,-1.970671610709846e-12,1.709820033635708e-12,-1.917059441066163e-12,1.5913726775151637e-12,-1.954917339655063e-12,1.4337921728467343e-12,-1.9695110489073117e-12,1.5763115865322935e-12,-1.9383888548433213e-12,1.7389087320322105e-12,-1.910320998220925e-12,1.7403035824750282e-12,-1.9219903915097134e-12,1.7066499298540382e-12,-1.9189090463034036e-12,1.735312858936501e-12,-1.9108868356537906e-12,1.7868760103501058e-12
8,80,1,-1,1.5550689355741896e-12,1.5550689355741896e-12,-1.9844546454054386e-12,1.3836322105045923e-12,-2.00603774937716e-12,1.5425693922287206e-12,-1.967495038535519e-12,1.726242940335745e-12,-1.9256189987013877e-12,1.4152256063807021e-12,-1.998698258317562e-12,1.0470076827061326e-12,-2.0397677449490246e-12,1.3870287159319977e-12,-1.9830674390120245e-12,1.6943070037358423e-12,-1.9215502143641058e-12,1.5586087910592246e-12,-1.964475726223955e-12,1.3800595573984098e-12,-1.981914198119136e-12,1.5431799706436213e-12,-1.9465290010248946e-12,1.7273464940221324e-12,-1.913732180353304e-12,1.7277166858628795e-12,-1.9264674726407146e-12,1.6906822612762631e-12,-1.9235229253981953e-12,1.7234749926796709e-12,-1.914389939861408e-12,1.7809739943956968e-12
9,90,1,-1,1.520711213031969e-12,1.520711213031969e-12,-1.9960621596859323e-12,1.3289994190431208e-12,-2.020847315437181e-12,1.5079729099246076e-12,-1.9776258735517016e-12,1.7134637713748678e-12,-1.9302001584053317e-12,1.3646217062168234e-12,-2.0126262077516653e-12,9.516269249256486e-13,-2.0595390573332277e-12,1.3340243032085171e-12,-1.9954632700156184e-12,1.678793981661307e-12,-1.9260409915377645e-12,1.5258449042687537e-12,-1.974034120228399e-12,1.326326965141958e-12,-1.9943173490686694e-12,1.510048402587095e-12,-1.9546691559351042e-12,1.7157843061915354e-12,-1.917143366008634e-12,1.7151297973499804e-12,-1.9309445689539677e-12,1.6747146035350675e-12,-1.928136818615079e-12,1.7116371430631597e-12,-1.9178930519055513e-12,1.7750720220235107e-12
10,100,1,-1,1.486353527301597e-12,1.486353527301597e-12,-2.0076696809880952e-12,1.2743666504686693e-12,-2.0356568894959626e-12,1.4733763739962925e-12,-1.9877567154056255e-12,1.7006846117214466e-12,-1.934781323580898e-12,1.3140178255846311e-12,-2.0265541562182366e-12,8.562461685040282e-13,-2.079310369983015e-12,1.28101992070742e-12,-2.007859102612063e-12,1.6632809612989169e-12,-1.9305317729108367e-12,1.4930810160401368e-12,-1.9835925209230496e-12,1.2725943913720125e-12,-2.006720501715073e-12,1.4769168719471574e-12,-1.962809317607994e-12,1.7042221592827172e-12,-1.9205545548420024e-12,1.7025429092668018e-12,-1.935421677119069e-12,1.658746943788102e-12,-1.9327507230136904e-12,1.6997993085053317e-12,-1.9213961702267834e-12,1.7691700830792601e-12
